93,48,56,182,66,65,178,248,7
81,49,64,227,70,57,157,256,7
87,54,92,406,93,57,142,266,7
94,52,92,458,96,57,181,304,7
88,45,102,504,101,49,158,260,7
78,48,110,600,109,47,148,259,7
75,48,120,655,118,47,158,255,7
66,58,151,772,137,47,158,238,7
55,60,175,865,159,47,115,210,7
54,59,171,870,155,50,126,227,7
52,59,168,833,151,48,131,227,7
72,62,173,827,158,52,119,233,7
81,49,140,714,142,50,132,263,7
97,58,136,649,132,50,147,220,7
212,67,157,713,142,64,139,226,7
222,81,158,721,139,68,135,263,7
282,86,142,669,120,67,225,298,7
350,100,135,589,106,71,225,316,7
456,104,111,493,87,75,227,367,7
430,103,66,307,66,59,223,356,7
433,94,54,158,56,55,222,330,7
402,87,65,286,62,52,130,289,7
348,72,70,326,65,49,133,251,7
202,67,66,346,64,41,99,170,7
183,64,68,363,66,46,107,180,7
173,77,93,492,89,49,124,217,7
192,94,100,463,99,50,133,218,7
189,98,148,623,150,49,117,223,7
174,92,151,697,158,51,118,247,7
166,92,165,797,171,51,136,228,7
163,82,153,765,163,48,133,191,7
116,62,149,793,156,43,124,193,7
107,58,126,748,120,40,125,203,7
97,64,131,700,120,49,169,185,7
106,81,114,594,101,45,160,190,7
98,80,114,563,106,46,153,225,7
99,82,129,572,122,48,158,227,7
92,80,108,472,107,52,172,200,7
91,76,97,430,94,45,139,184,7
92,60,97,411,94,47,129,227,7
113,59,97,396,86,51,144,223,7
127,55,66,258,58,57,145,223,7
132,56,57,196,53,56,139,220,7
131,56,52,171,51,55,130,232,7
116,49,47,138,46,52,121,182,7
112,53,40,94,38,49,141,242,7
102,58,36,154,38,44,151,277,7
98,56,57,374,68,40,144,277,7
98,55,60,392,67,40,151,279,7
107,58,71,412,82,47,186,322,7
95,58,90,541,111,48,158,265,7
90,55,94,570,111,46,143,220,7
87,52,92,559,117,45,140,226,7
83,52,111,670,136,46,135,207,7
97,61,142,787,145,42,93,233,7
87,60,148,825,140,41,97,227,7
89,75,170,902,165,42,99,235,7
93,81,173,895,170,49,106,227,7
122,83,172,858,164,50,135,312,7
146,94,150,761,156,51,228,251,7
