(343, 107, 100, 113, 92, 245, 194, 275)
(438, 108, 108, 121, 123, 237, 267, 399)
(535, 123, 105, 119, 151, 235, 392, 469)
(608, 136, 107, 117, 200, 236, 444, 573)
(618, 155, 109, 119, 213, 227, 489, 694)
(684, 177, 107, 109, 222, 229, 534, 779)
(696, 224, 107, 107, 231, 248, 558, 886)
(688, 234, 108, 102, 226, 244, 513, 896)
(657, 246, 95, 92, 209, 249, 481, 907)
(691, 240, 87, 85, 201, 221, 428, 835)
(649, 233, 78, 88, 192, 217, 410, 789)
(582, 187, 66, 79, 185, 185, 336, 620)
(473, 166, 52, 77, 176, 170, 292, 553)
(419, 128, 85, 120, 160, 138, 268, 410)
(321, 121, 134, 261, 162, 127, 238, 370)
(237, 83, 140, 297, 155, 106, 150, 209)
(198, 91, 145, 356, 133, 91, 123, 141)
(176, 84, 165, 391, 129, 80, 87, 119)
(123, 81, 163, 411, 112, 80, 84, 96)
(114, 96, 160, 383, 129, 79, 65, 74)
(88, 101, 194, 414, 148, 73, 63, 66)
(79, 100, 204, 413, 152, 74, 58, 46)
(70, 100, 196, 405, 156, 70, 52, 41)
(65, 96, 192, 411, 175, 53, 36, 30)
(55, 78, 193, 416, 215, 52, 33, 28)
(46, 75, 162, 378, 277, 55, 34, 28)
(45, 75, 182, 444, 338, 56, 33, 29)
(50, 85, 195, 514, 397, 63, 38, 33)
(53, 106, 270, 564, 443, 71, 41, 37)
(48, 109, 267, 596, 490, 73, 45, 38)
(49, 109, 272, 721, 512, 74, 45, 39)
(52, 110, 254, 752, 568, 81, 50, 41)
(52, 109, 267, 733, 598, 81, 48, 41)
(48, 85, 200, 840, 641, 84, 56, 39)
(49, 79, 185, 851, 681, 97, 56, 40)
(49, 79, 185, 799, 663, 103, 58, 40)
(48, 79, 203, 789, 643, 109, 65, 39)
(54, 80, 174, 919, 642, 133, 87, 48)
(57, 93, 183, 923, 703, 144, 93, 53)
(63, 104, 206, 954, 652, 150, 100, 61)
(67, 105, 203, 1106, 698, 153, 102, 64)
(71, 117, 208, 1181, 731, 175, 107, 68)
(69, 130, 252, 1158, 754, 165, 103, 66)
(67, 124, 283, 1119, 672, 162, 94, 66)
(60, 118, 301, 1113, 649, 149, 94, 60)
(68, 129, 319, 1020, 631, 152, 105, 67)
(65, 125, 366, 957, 578, 125, 102, 69)
(72, 124, 368, 938, 517, 124, 101, 77)
(78, 137, 365, 897, 503, 126, 102, 80)
(78, 139, 353, 975, 555, 133, 101, 80)
(72, 133, 339, 907, 510, 123, 101, 74)
(70, 130, 294, 862, 466, 116, 97, 72)
(59, 117, 271, 907, 456, 118, 86, 59)
(51, 108, 258, 930, 445, 103, 88, 54)
(51, 108, 258, 807, 370, 92, 87, 52)
(49, 105, 263, 822, 413, 96, 77, 50)
(46, 95, 238, 839, 417, 93, 70, 44)
(45, 95, 231, 763, 425, 83, 71, 44)
(52, 99, 207, 786, 395, 82, 62, 45)
(50, 91, 184, 804, 388, 80, 54, 44)
(52, 87, 174, 748, 311, 69, 47, 44)
(55, 90, 178, 735, 312, 76, 49, 44)
(55, 89, 158, 686, 264, 65, 42, 42)
(47, 74, 141, 557, 248, 57, 41, 36)
(50, 79, 130, 492, 255, 62, 40, 35)
(45, 75, 108, 487, 252, 60, 36, 32)
(41, 69, 94, 403, 216, 50, 33, 29)
(44, 77, 133, 303, 173, 48, 30, 27)
(49, 82, 141, 283, 147, 49, 29, 29)
(44, 71, 136, 237, 102, 41, 34, 26)
(47, 71, 139, 210, 79, 43, 39, 28)
(46, 72, 137, 146, 71, 45, 51, 30)
(61, 56, 90, 111, 63, 59, 61, 35)
(81, 50, 72, 102, 66, 65, 90, 46)
(97, 50, 62, 76, 62, 96, 104, 51)
(107, 52, 57, 64, 58, 104, 117, 54)
(112, 50, 54, 60, 58, 114, 123, 65)
(111, 53, 51, 59, 59, 119, 130, 68)
(121, 54, 48, 48, 56, 128, 154, 68)
(119, 56, 55, 52, 58, 129, 164, 68)
(137, 55, 52, 52, 55, 128, 163, 83)
(166, 62, 61, 61, 66, 134, 166, 81)
(174, 59, 60, 53, 61, 130, 196, 91)
(164, 52, 57, 56, 65, 131, 173, 95)
(177, 60, 54, 54, 63, 115, 183, 101)
(218, 72, 57, 53, 61, 114, 197, 120)
(249, 76, 49, 41, 49, 108, 213, 120)
(292, 81, 54, 47, 52, 103, 183, 114)
(328, 88, 57, 47, 52, 108, 201, 119)
(361, 88, 58, 50, 61, 112, 200, 145)
(399, 85, 59, 62, 85, 115, 202, 208)
(454, 94, 63, 66, 99, 120, 192, 263)
(451, 88, 58, 69, 117, 124, 194, 314)
(432, 93, 58, 68, 122, 110, 172, 324)
(440, 101, 60, 70, 118, 104, 154, 322)
(394, 95, 54, 64, 114, 100, 129, 280)
(315, 82, 48, 65, 123, 86, 119, 236)
(295, 83, 52, 65, 107, 80, 115, 166)
(294, 78, 86, 81, 104, 79, 114, 141)
(253, 69, 113, 84, 104, 81, 103, 115)
(228, 72, 124, 114, 93, 75, 90, 101)
(198, 70, 132, 123, 66, 76, 76, 78)
(263, 69, 132, 129, 62, 77, 73, 80)
(255, 63, 129, 128, 56, 76, 66, 68)
(258, 69, 151, 175, 58, 74, 62, 66)
(259, 74, 170, 163, 54, 75, 62, 65)
(256, 75, 178, 194, 54, 74, 51, 62)
(161, 92, 195, 210, 56, 75, 44, 38)
